ID,Authors,QA1,QA2,QA3,QA4,QA5,Total
S001,"Petar, R. et al.",1.0,0.5,0.5,1.0,1.0,4.0
S002,"Zou, A., Wang, Z., Carlini, N., Nasr, M., Kolter, J.Z., & Fredrikson, M.",1.0,1.0,0.5,0.5,1.0,4.0
S003,"Liu, Y. et al.",1.0,1.0,0.5,0.5,1.0,4.0
S004,"Toyer, S. et al.",1.0,1.0,0.5,1.0,1.0,4.5
S005,"Deng, G. et al.",1.0,1.0,0.5,0.5,1.0,4.0
S006,"Shen, X. et al.",1.0,0.5,0.5,0.5,1.0,3.5
S007,"Wei, A. et al.",1.0,1.0,1.0,1.0,1.0,5.0
S008,"Carlini, N. et al.",1.0,1.0,0.5,0.5,1.0,4.0
S009,"Yao, S. et al.",0.5,1.0,1.0,1.0,1.0,4.5
S010,"Greshake, K. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S011,"Schulhoff, S. et al.",1.0,1.0,1.0,1.0,1.0,5.0
S012,"Park, J.S. et al.",0.5,0.5,0.5,1.0,1.0,3.5
S013,"Yao, Y. et al.",1.0,0.5,0.5,0.5,1.0,3.5
S014,"Gupta, M. et al.",1.0,0.5,1.0,1.0,1.0,4.5
S015,"Sebastian, G.",1.0,0.5,0.5,1.0,1.0,4.0
S016,"Lan, Q., Kaul, A., & Jones, S.",1.0,1.0,0.5,0.5,1.0,4.0
S017,"Jauhari, S. & Vobugari, S.",1.0,1.0,1.0,0.5,1.0,4.5
S018,"Shi, Y., Qu, Z., & Zhang, N.",1.0,0.5,1.0,0.5,1.0,4.0
S019,"Stav Cohen, Ron Bitton, Ben Nassi",1.0,1.0,0.5,0.5,1.0,4.0
S020,"Liu, Y., Jia, Y., Geng, R., Jia, J., & Gong, N.Z.",1.0,0.5,0.5,1.0,1.0,4.0
S021,"Yi, J. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S022,"Xu, W. et al.",1.0,1.0,1.0,1.0,1.0,5.0
S023,"Cheng, Y. et al.",1.0,1.0,0.5,0.5,1.0,4.0
S024,"Xue, J. et al.",1.0,1.0,0.5,0.5,1.0,4.0
S025,"Zhan, Q. et al.",1.0,1.0,1.0,0.5,1.0,4.5
S026,"Ruan, Y. et al.",1.0,0.5,0.5,1.0,1.0,4.0
S027,"Martin, L .et al.",1.0,0.5,0.5,1.0,1.0,4.0
S028,"Wang, Y. et al.",1.0,0.5,1.0,1.0,1.0,4.5
S029,"Liu, Y., Deng, G., Li, Y., Wang, K., Zhang, T., Liu, Y., Wang, H., Zheng, Y., & Liu, Y.",1.0,1.0,0.5,0.5,1.0,4.0
S030,"Li, H. et al.",1.0,1.0,0.5,1.0,1.0,4.5
S031,"Tao, G. et al.",1.0,1.0,0.5,0.5,1.0,4.0
S032,"Shayegani, E. et al.",1.0,0.5,0.5,0.5,1.0,3.5
S033,"Kang, D. et al.",1.0,1.0,0.5,0.5,1.0,4.0
S034,"Wu, Q. et al.",0.5,0.5,0.5,1.0,1.0,3.5
S035,"Abdelnabi, S. et al.",1.0,1.0,1.0,1.0,1.0,5.0
